iata_code,airport_name,city,country_code,country_name,airport_type,coordinates
CYT,Yakataga Airport,Yakataga,US,United States,small_airport,"60.080974, -142.494541"
CZC,Copper Center 2 Airport,Copper Center,US,United States,small_airport,"61.943713, -145.299398"
CZF,Cape Romanzof LRRS Airport,Cape Romanzof,US,United States,medium_airport,"61.78030014, -166.0390015"
CZK,Cascade Locks State Airport,Cascade Locks,US,United States,small_airport,"45.676599, -121.878879"
CZN,Chisana Airport,Chisana,US,United States,small_airport,"62.071201, -142.048004"
CZO,Chistochina Airport,Chistochina,US,United States,small_airport,"62.5634994507, -144.669006348"
CZT,Dimmit County Airport,Carrizo Springs,US,United States,small_airport,"28.522199630699998, -99.823600769"
DAA,Davison Army Air Field,Fort Belvoir,US,United States,medium_airport,"38.715000152600005, -77.1809997559"
DAB,Daytona Beach International Airport,Daytona Beach,US,United States,medium_airport,"29.179899, -81.058098"
DAG,Barstow Daggett Airport,Daggett,US,United States,medium_airport,"34.85369873, -116.7870026"
DAL,Dallas Love Field,Dallas,US,United States,medium_airport,"32.847099, -96.851799"
DAN,Danville Regional Airport,Danville,US,United States,medium_airport,"36.572899, -79.336098"
DAY,James M Cox Dayton International Airport,Dayton,US,United States,medium_airport,"39.902401, -84.219398"
DBN,W H 'Bud' Barron Airport,Dublin,US,United States,small_airport,"32.5644, -82.985298"
DBQ,Dubuque Regional Airport,Dubuque,US,United States,medium_airport,"42.402, -90.709503"
DBS,Dubois Municipal Airport,Dubois,US,United States,small_airport,"44.162057, -112.220581"
DCA,Ronald Reagan Washington National Airport,Washington,US,United States,large_airport,"38.8521, -77.037697"
DCK,Dahl Creek Airport,Dahl Creek,US,United States,small_airport,"66.943298, -156.904999"
DCU,Pryor Field Regional Airport,Decatur,US,United States,small_airport,"34.652698516799994, -86.94539642330001"
DDC,Dodge City Regional Airport,Dodge City,US,United States,medium_airport,"37.76340103149414, -99.9655990600586"
DEC,Decatur Airport,Decatur,US,United States,medium_airport,"39.834598541259766, -88.8656997680664"
DEH,Decorah Municipal Airport,Decorah,US,United States,small_airport,"43.275501, -91.739403"
DEN,Denver International Airport,Denver,US,United States,large_airport,"39.861698150635, -104.672996521"
DET,Coleman A. Young Municipal Airport,Detroit,US,United States,medium_airport,"42.40919876, -83.00990295"
DFI,Defiance Memorial Airport,Defiance,US,United States,small_airport,"41.3375015259, -84.4288024902"
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,United States,large_airport,"32.896801, -97.038002"
DGL,Douglas Municipal Airport,Douglas,US,United States,small_airport,"31.3425998688, -109.505996704"
DGN,Dahlgren Naval Surface Warfare Center Airport,Dahlgren,US,United States,small_airport,"38.3325, -77.037201"
DGW,Converse County Airport,Douglas,US,United States,small_airport,"42.79719925, -105.3860016"
DHN,Dothan Regional Airport,Dothan,US,United States,medium_airport,"31.321300506591797, -85.44960021972656"
DHT,Dalhart Municipal Airport,Dalhart,US,United States,medium_airport,"36.0225982666, -102.54699707"
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,US,United States,medium_airport,"46.797533, -102.801905"
DJN,Delta Junction Airport,Delta Junction,US,United States,small_airport,"64.049861, -145.722656"
DKK,Chautauqua County-Dunkirk Airport,Dunkirk,US,United States,small_airport,"42.49247, -79.273102"
DLF,Laughlin Air Force Base,Del Rio,US,United States,medium_airport,"29.359501, -100.778002"
DLG,Dillingham Airport,Dillingham,US,United States,medium_airport,"59.04470062, -158.5050049"
DLH,Duluth International Airport,Duluth,US,United States,medium_airport,"46.842098, -92.193604"
DLL,Dillon County Airport,Dillon,US,United States,small_airport,"34.4491004944, -79.368598938"
DLN,Dillon Airport,Dillon,US,United States,small_airport,"45.255401611299995, -112.553001404"
DLS,Columbia Gorge Regional Airport,Dallesport / The Dalles,US,United States,medium_airport,"45.620979, -121.170777"
DMA,Davis Monthan Air Force Base,Tucson,US,United States,medium_airport,"32.1665000916, -110.883003235"
DMN,Deming Municipal Airport,Deming,US,United States,medium_airport,"32.262298584, -107.721000671"
DMO,Sedalia Memorial Airport,Sedalia,US,United States,small_airport,"38.70740127559999, -93.17590332030001"
DNL,Daniel Field,Augusta,US,United States,medium_airport,"33.4664993286, -82.0393981934"
DNN,Dalton Municipal Airport,Dalton,US,United States,small_airport,"34.72290039, -84.87020111"
DNS,Denison Municipal Airport,Denison,US,United States,small_airport,"41.9864006, -95.38069916"
DNV,Vermilion Regional Airport,Danville,US,United States,small_airport,"40.199124, -87.59663"
DOV,Dover Air Force Base,Dover,US,United States,medium_airport,"39.129501, -75.466003"
DPA,Dupage Airport,Chicago/West Chicago,US,United States,medium_airport,"41.90779877, -88.24859619"
DPG,Michael AAF (Dugway Proving Ground) Airport,Dugway Proving Ground,US,United States,small_airport,"40.197396, -112.935094"
DRA,Desert Rock Airport,Mercury,US,United States,medium_airport,"36.6194, -116.032997"
DRE,Drummond Island Airport,Drummond Island,US,United States,small_airport,"46.0093002319, -83.74389648440001"
DRF,Drift River Airport,Kenai,US,United States,small_airport,"60.588901519800004, -152.162002563"
DRG,Deering Airport,Deering,US,United States,medium_airport,"66.068901, -162.766914"
DRI,Beauregard Regional Airport,DeRidder,US,United States,medium_airport,"30.831699, -93.339897"
DRO,Durango La Plata County Airport,Durango,US,United States,medium_airport,"37.151501, -107.753998"
DRT,Del Rio International Airport,Del Rio,US,United States,medium_airport,"29.3742008209, -100.927001953"
DRU,Drummond Airport,Drummond,US,United States,small_airport,"46.621599, -113.201751"
DSI,Destin Executive Airport,Destin,US,United States,medium_airport,"30.400101, -86.471497"
DSM,Des Moines International Airport,Des Moines,US,United States,medium_airport,"41.534, -93.663101"
DSV,Dansville Municipal Airport,Dansville,US,United States,small_airport,"42.570545, -77.713273"
DTA,Delta Municipal Airport,Delta,US,United States,small_airport,"39.3805999756, -112.508003235"
DTH,Furnace Creek Airport,Death Valley,US,United States,small_airport,"36.463799, -116.880997"
DTL,Detroit Lakes Airport,Detroit Lakes,US,United States,small_airport,"46.824301, -95.883322"
DTN,Shreveport Downtown Airport,Shreveport,US,United States,small_airport,"32.5401992798, -93.7450027466"
DTR,Decatur Shores Airport,Decatur,US,United States,small_airport,"48.500171, -122.813973"
DTW,Detroit Metropolitan Wayne County Airport,Detroit,US,United States,large_airport,"42.21377, -83.353786"
DUA,Durant Regional Airport - Eaker Field,Durant,US,United States,medium_airport,"33.939675, -96.395072"
DUC,Halliburton Field,Duncan,US,United States,small_airport,"34.47090149, -97.9598999"
DUF,Pine Island Airport,Corolla,US,United States,small_airport,"36.252744, -75.785256"
DUG,Bisbee Douglas International Airport,Douglas Bisbee,US,United States,medium_airport,"31.4689998627, -109.603996277"
DUJ,DuBois Regional Airport,Dubois,US,United States,medium_airport,"41.17829895, -78.8986969"
DUT,Tom Madsen (Dutch Harbor) Airport,Unalaska,US,United States,medium_airport,"53.89881, -166.544996"
DVL,Devils Lake Regional Airport,Devils Lake,US,United States,medium_airport,"48.115454, -98.908796"
DVN,Davenport Municipal Airport,Davenport,US,United States,small_airport,"41.610432, -90.589693"
DVT,Phoenix Deer Valley Airport,Phoenix,US,United States,small_airport,"33.6883010864, -112.083000183"
DWH,David Wayne Hooks Memorial Airport,Houston,US,United States,small_airport,"30.0618000031, -95.55280303960001"
DXE,Bruce Campbell Field,Madison,US,United States,small_airport,"32.438702, -90.103104"
DXR,Danbury Municipal Airport,Danbury,US,United States,medium_airport,"41.371656, -73.482227"
DYL,Doylestown Airport,Doylestown,US,United States,small_airport,"40.3330001831, -75.1222991943"
DYS,Dyess Air Force Base,Abilene,US,United States,medium_airport,"32.420799, -99.854599"
EAA,Eagle Airport,Eagle,US,United States,small_airport,"64.778003, -141.150455"
EAN,Phifer Airfield,Wheatland,US,United States,small_airport,"42.0555, -104.929001"
EAR,Kearney Regional Airport,Kearney,US,United States,medium_airport,"40.727001, -99.006798"
EAT,Pangborn Memorial Airport,Wenatchee,US,United States,medium_airport,"47.398899, -120.207001"
EAU,Chippewa Valley Regional Airport,Eau Claire,US,United States,medium_airport,"44.86579895019531, -91.48429870605469"
EBS,Webster City Municipal Airport,Webster City,US,United States,small_airport,"42.436848, -93.869905"
ECA,Iosco County Airport,East Tawas,US,United States,small_airport,"44.312801, -83.422302"
ECG,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,US,United States,medium_airport,"36.260601, -76.174599"
ECP,Northwest Florida Beaches International Airport,Panama City Beach,US,United States,medium_airport,"30.357106, -85.795414"
ECS,Mondell Field,Newcastle,US,United States,small_airport,"43.88379, -104.314156"
EDE,Northeastern Regional Airport,Edenton,US,United States,small_airport,"36.027698516799994, -76.56710052490001"
EDF,Elmendorf Air Force Base,Anchorage,US,United States,medium_airport,"61.251709, -149.807097"
EDK,Captain Jack Thomas El Dorado Airport,El Dorado,US,United States,small_airport,"37.7741012573, -96.81759643550001"
EDW,Edwards Air Force Base,Edwards,US,United States,medium_airport,"34.905399, -117.884003"
EED,Needles Airport,Needles,US,United States,medium_airport,"34.7663002014, -114.623001099"
EEK,Eek Airport,Eek,US,United States,small_airport,"60.213173, -162.044048"
EEN,Dillant Hopkins Airport,Keene,US,United States,medium_airport,"42.898399, -72.270798"
EFD,Ellington Airport,Houston,US,United States,medium_airport,"29.607299804700002, -95.1587982178"
EFK,Northeast Kingdom International Airport,Newport,US,United States,small_airport,"44.888802, -72.229202"
EFW,Jefferson Municipal Airport,Jefferson,US,United States,small_airport,"42.009866, -94.341717"
EGE,Eagle County Regional Airport,Eagle,US,United States,medium_airport,"39.64260101, -106.9179993"
EGI,Duke Field,Crestview,US,United States,medium_airport,"30.65040016, -86.52290344"
EGP,Maverick County Memorial International Airport,Eagle Pass,US,United States,small_airport,"28.859766, -100.516682"
EGV,Eagle River Union Airport,Eagle River,US,United States,small_airport,"45.932300567599995, -89.26830291750001"
EGX,Egegik Airport,Egegik,US,United States,medium_airport,"58.184386, -157.374873"
EHM,Cape Newenham LRRS Airport,Cape Newenham,US,United States,medium_airport,"58.646400451699996, -162.06300354"
EIL,Eielson Air Force Base,Fairbanks,US,United States,medium_airport,"64.66570282, -147.102005"
EKA,Murray Field,Eureka,US,United States,medium_airport,"40.803398, -124.112999"
EKI,Elkhart Municipal Airport,Elkhart,US,United States,small_airport,"41.7193984985, -86.00319671630001"
EKN,Elkins-Randolph County Regional Airport,Elkins,US,United States,medium_airport,"38.889759, -79.857651"
EKO,Elko Regional Airport,Elko,US,United States,medium_airport,"40.82490158081055, -115.79199981689453"
EKX,Addington Field / Elizabethtown Regional Airport,Elizabethtown,US,United States,small_airport,"37.686001, -85.925003"
ELA,Eagle Lake Airport,Eagle Lake,US,United States,small_airport,"29.600599288900003, -96.3218994141"
ELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,US,United States,medium_airport,"33.221001, -92.813301"
ELI,Elim Airport,Elim,US,United States,small_airport,"64.6147, -162.272003"
ELK,Elk City Regional Business Airport,Elk City,US,United States,small_airport,"35.43080139, -99.39430237"
ELM,Elmira Corning Regional Airport,Elmira/Corning,US,United States,medium_airport,"42.1599006652832, -76.8916015625"
ELN,Bowers Field,Ellensburg,US,United States,small_airport,"47.03300095, -120.5309982"
ELP,El Paso International Airport,El Paso,US,United States,medium_airport,"31.807199, -106.377998"
ELY,Ely Airport Yelland Field,Ely,US,United States,medium_airport,"39.29970169, -114.8420029"
ELZ,Wellsville Municipal Airport - Tarantine Field,Wellsville,US,United States,small_airport,"42.109501, -77.989998"
EMK,Emmonak Airport,Emmonak,US,United States,medium_airport,"62.78609848, -164.4909973"
EMM,Kemmerer Municipal Airport,Kemmerer,US,United States,small_airport,"41.82410049439999, -110.556999207"
EMP,Emporia Municipal Airport,Emporia,US,United States,small_airport,"38.3320999146, -96.19120025630001"
